JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
dnaA,tnpA,dac,cas1_1,fni,mltF,nhaS3_1
dnaN,ctpF_1,rsmE,cas2_1,carC_1,glnQ,bepE_1
sasA_1,sasA_1,estB_1,eriC,cas2_1,mfd,mdtA_1
rpmG,cusR_1,kojP,gyrA_1,cas1_1,hslO,pknD_1
rnr_1,mtgA_1,rcsC_1,lnt,dnaK2_1,hhoA,mtcA2_1
nplT,apnhaP_1,metK_1,menH_1,dusB,crtN,btuB_1
mntB_1,yhhT_1,prk_1,xynZ_1,speA_1,psaF,petJ_1
mntB_2,hmp,petH,mprF_1,ychF,psbH,rpoD_1
troA,sodA1,hom,sugB,vldW,psbB,priA
moeZ,csm3,ispH,msmX,cpoB_1,psbC,cpdA_1
selU,noc_1,amtB,argG,rmlD,psbD1,ggt_1
mazG,soj_1,purE,cobN_1,pipB2_1,apcD_1,dfa5_1
petC,xerD_1,nagA,phrA,rcsC_1,apcE,dfa3_1
proA_1,relA_1,chlM,dfa3_1,rffG,apcD_2,eis_1
pchA,cysK,rcsC_2,dfa5_1,panS,apcB,ligA
menA_1,norM,cheR_1,ggt,scrK,apcD_3,kdpD
ykfB,lysA_1,cheB_1,gpmI,leuD1,psbA1,kdpC_1
menE_1,dap_1,bvgS,cph2_1,leuC,chlF,kdpB_1
egtB_1,icfA,ybiT,ybiT,sfsA,rssB,kdpA_1
ydcV,xerC_1,gpmI,rcsC_1,cpoB_2,sasA_1,eis_2
rcsC_1,yhcG,hrcA,cheB_1,pknD_1,phoP_1,flhA
gfo,hscA,susA_1,cheR_1,bamA_1,psaA,hmo
tenA,rapA_1,purH,rcsC_2,iolG_1,psaB,nasF_1
dapL_1,soj_2,estB_2,rcsC_3,rcsC_2,psaL,coaE_1
trxB,noc_2,undec1A,lnrL_1,sadH,nifJ,hcaR_1
murD,ycf3_1,rcsC_3,sigA2_1,tldD_1,petB,tldD_1
glyS,hin,cheR_2,speE,hisB,nhaP2,ctpC
rcsC_2,phoD_1,cheB_2,speH,fabI,sasA_2,def_1
surE_1,ftsH_1,rcsC_4,pknD_1,ntcA,mrgA,dnaA
mntH_1,dbpA_1,cpoB_1,pknD_2,proA_1,liaR,dnaN_1
cocE,dnaN_1,pstB,glcP,metZ,rcp1_1,rhaR_1
rutB_1,yqeN_1,pstA_1,btuD_1,ltxD_1,rcsC_1,rpmG
pknD_1,soj_3,sphX_1,modA_1,exoA,rcsC_2,rnr_1
mazF9,noc_3,dnaK2_1,tgt,bshA_1,rcsC_3,sasA_1
rpiA,sasA_2,hspA_1,psbM,thiG,rpsU1,pcrA_1
cbiD,tcrA_1,hspA_2,prlC,cimA,hetR_1,smc_1
cobK,sbnA_1,uvrA,ileS_1,ndhD1_1,hetR_2,glmS
ddpX,teaD,hdc,pknD_3,nuoL_1,gutB,psaC
nupX,copA_1,ureC,gnd,cmpR_1,COQ5,pknD_2
shc,cnrA_1,ureB1,ileS_2,spkF,glnA,pknD_3
sigA2_1,cpoB_1,ureA,ald2,yidA,apcD_4,hcaC
speE,mntH,ureD,rihB,polA,tlyA,cpdA_2
speH,sasA_3,lapB,flhA,pacL_1,psbA3,moaA_1
spkB_1,arlR,psbA2,rimM,recF,era,COQ5_1
pknD_2,sigA2_1,psbA3_1,yflS,bchI,dnaG,pgcA
glcP,pcxA_1,ppc,sasA_1,lacF_1,blh,glnB
