gene,gene,gene,gene,gene,gene,gene,gene
dnaA,tnpA,dac,cas1_1,fni,psbD,nhaS3_1,aqpZ_1
dnaN,ctpF_1,rsmE,cas2_1,carC_1,pksJ,bepE_1,arsC
sasA_1,sasA_1,estB_1,eriC,cas2_1,panP,mdtA_1,arsH
rpmG,cusR_1,kojP,gyrA_1,cas1_1,ppsE,pknD_1,sphX_1
rnr_1,mtgA_1,rcsC_1,lnt,dnaK2_1,gpmI,mtcA2_1,pstA_1
nplT,apnhaP_1,metK_1,menH_1,dusB,ybiT,btuB_1,pstB3_1
mntB_1,yhhT_1,prk_1,xynZ_1,speA_1,rcsC_1,petJ_1,sphX_2
mntB_2,hmp,petH,mprF_1,ychF,cheB_1,rpoD_1,sphX_3
troA,sodA1,hom,sugB,vldW,cheR_1,priA,sphX_4
moeZ,csm3,ispH,msmX,cpoB_1,rcsC_2,cpdA_1,sphX_5
selU,noc_1,amtB,argG,rmlD,pucG,ggt_1,btuD_1
mazG,soj_1,purE,cobN_1,pipB2_1,pknD_1,dfa5_1,mprA_1
petC,xerD_1,nagA,phrA,rcsC_1,bamA_1,dfa3_1,sasA_1
proA_1,relA_1,chlM,dfa3_1,rffG,dgcE,eis_1,priA
pchA,cysK,rcsC_2,dfa5_1,panS,bchE,ligA,tsaM1
menA_1,norM,cheR_1,ggt,scrK,msrB,kdpD,resA_1
ykfB,lysA_1,cheB_1,gpmI,leuD1,cpoB_1,kdpC_1,rpiA
menE_1,dap_1,bvgS,cph2_1,leuC,smc_1,kdpB_1,rcsC_1
egtB_1,icfA,ybiT,ybiT,sfsA,bepR,kdpA_1,glpE
ydcV,xerC_1,gpmI,rcsC_1,cpoB_2,macB_1,eis_2,purB
rcsC_1,yhcG,hrcA,cheB_1,pknD_1,sodB,flhA,natB
gfo,hscA,susA_1,cheR_1,bamA_1,purM,hmo,natA
tenA,rapA_1,purH,rcsC_2,iolG_1,dapH_1,nasF_1,caeA
dapL_1,soj_2,estB_2,rcsC_3,rcsC_2,mcpA,coaE_1,spkA_1
trxB,noc_2,undec1A,lnrL_1,sadH,pdxH_1,hcaR_1,sasA_2
murD,ycf3_1,rcsC_3,sigA2_1,tldD_1,bamA_2,tldD_1,narL
glyS,hin,cheR_2,speE,hisB,pknD_2,ctpC,upp
rcsC_2,phoD_1,cheB_2,speH,fabI,mutS,def_1,yqeN
surE_1,ftsH_1,rcsC_4,pknD_1,ntcA,spkC,dnaA,ctpA
mntH_1,dbpA_1,cpoB_1,pknD_2,proA_1,amiC,dnaN_1,proB
cocE,dnaN_1,pstB,glcP,metZ,livH_1,rhaR_1,hemL
rutB_1,yqeN_1,pstA_1,btuD_1,ltxD_1,lptB_1,rpmG,lspA
pknD_1,soj_3,sphX_1,modA_1,exoA,livF_1,rnr_1,rluD
mazF9,noc_3,dnaK2_1,tgt,bshA_1,folD,sasA_1,nucA
rpiA,sasA_2,hspA_1,psbM,thiG,pdxJ,pcrA_1,ycf4
cbiD,tcrA_1,hspA_2,prlC,cimA,gsiA_1,smc_1,mshA_1
cobK,sbnA_1,uvrA,ileS_1,ndhD1_1,glsA1,glmS,entS
ddpX,teaD,hdc,pknD_3,nuoL_1,rlpA_1,psaC,recO
nupX,copA_1,ureC,gnd,cmpR_1,panC/cmk,pknD_2,rplC
shc,cnrA_1,ureB1,ileS_2,spkF,murQ,pknD_3,rplD
sigA2_1,cpoB_1,ureA,ald2,yidA,glgP_1,hcaC,rplW
speE,mntH,ureD,rihB,polA,queE,cpdA_2,pepP
speH,sasA_3,lapB,flhA,pacL_1,mshA_1,moaA_1,mazE
spkB_1,arlR,psbA2,rimM,recF,inhA,COQ5_1,mazF
pknD_2,sigA2_1,psbA3_1,yflS,bchI,lgrE,pgcA,yheS
glcP,pcxA_1,ppc,sasA_1,lacF_1,selD,glnB,rcsC_2
lipB,czcD,lip1,arsC,divK_1,hfq,psaK_1,ispE
hpf,sigA2_2,ilvE_1,arsH,upp_1,dapF,bamA_1,pdxJ
ompA_1,cnrA_2,deoC2,aqpZ_1,ribA,qorA,pgl,uppS
tadA_1,ziaR_1,recO,sphX_1,ycf3_1,sasA_1,rph,dacA
lnrK_1,cadA_1,mshA_1,cadI,yciC_1,garB,adk_1,lysA
egtB_2,sigA2_3,recR,yidD_1,hemB_1,queD,btuR,tri1
egtC,bamA_1,carC,cysA_1,moaA_1,hemB_1,dcd_1,yjiA
amt,todS_1,acuC,purT,mhpA,yciC_1,dcd_2,menG
chlM,srrA_1,gshA,sasA_2,dac,aroF_1,dcd_3,mobA
nagA,sasA_4,trmL,rcp1_1,sasA_1,dnaJ_1,thyX,dapb1
purE,tcrA_2,prxU,cph1_1,aspS2,yeeZ,ntdC,ybhL
amtB,cnrA_3,resA_1,mnmE_1,hin,srpB,ddpX,xthA
ispH,pacS_1,dnaJ_1,sasA_3,pgmB,spo0F,mnmE_1,nrdR
nrgA,merR1_1,glgC,sasA_4,COQ5_1,rcsC_3,sasA_2,acsA
rcsC_3,merR1_2,def_1,rcsC_4,soj_1,uppP,yhhT_1,rpsT
metK_1,lnrK_1,ftsX,rcsC_5,lnrL_1,tyrC,leuD,mtgA
prk_1,xerC_2,aat,phoB,PSK,aroF_2,leuC,hemH_1
