locus_tag	ftype	length_bp	gene	EC_number	COG	product
JGKFFLGN_00001	CDS	1374	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JGKFFLGN_00002	CDS	1167	dnaN			Beta sliding clamp
JGKFFLGN_00003	CDS	444				hypothetical protein
JGKFFLGN_00004	CDS	540				hypothetical protein
JGKFFLGN_00005	CDS	3315	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JGKFFLGN_00006	CDS	99				hypothetical protein
JGKFFLGN_00007	CDS	366				hypothetical protein
JGKFFLGN_00008	CDS	1857				hypothetical protein
JGKFFLGN_00009	CDS	1188				hypothetical protein
JGKFFLGN_00010	CDS	393				hypothetical protein
JGKFFLGN_00011	CDS	1194				hypothetical protein
JGKFFLGN_00012	CDS	546				hypothetical protein
JGKFFLGN_00013	CDS	195	rpmG		COG0267	50S ribosomal protein L33
JGKFFLGN_00014	CDS	216				hypothetical protein
JGKFFLGN_00015	CDS	2046	rnr_1	3.1.13.1		Ribonuclease R
JGKFFLGN_00016	CDS	180				hypothetical protein
JGKFFLGN_00017	CDS	2511				hypothetical protein
JGKFFLGN_00018	CDS	273				hypothetical protein
JGKFFLGN_00019	CDS	420				hypothetical protein
JGKFFLGN_00020	CDS	1461	nplT	3.2.1.135		Neopullulanase
JGKFFLGN_00021	CDS	858	mntB_1			Manganese transport system membrane protein MntB
JGKFFLGN_00022	CDS	843	mntB_2		COG1121	Manganese transport system ATP-binding protein MntB
JGKFFLGN_00023	CDS	1068	troA		COG0803	Periplasmic zinc-binding protein TroA
JGKFFLGN_00024	CDS	1173	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
JGKFFLGN_00025	CDS	459				hypothetical protein
JGKFFLGN_00026	CDS	357				hypothetical protein
JGKFFLGN_00027	CDS	1047	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
JGKFFLGN_00028	CDS	312				hypothetical protein
JGKFFLGN_00029	CDS	1695				hypothetical protein
JGKFFLGN_00030	CDS	2925				hypothetical protein
JGKFFLGN_00031	CDS	303				hypothetical protein
