locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEHBOLHC_00001	CDS	1368	nhaS3_1			High-affinity Na(+)/H(+) antiporter NhaS3
DEHBOLHC_00002	CDS	3183	bepE_1			Efflux pump membrane transporter BepE
DEHBOLHC_00003	CDS	1329	mdtA_1			Multidrug resistance protein MdtA
DEHBOLHC_00004	CDS	294				hypothetical protein
DEHBOLHC_00005	CDS	1386	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
DEHBOLHC_00006	CDS	969				hypothetical protein
DEHBOLHC_00007	CDS	312				hypothetical protein
DEHBOLHC_00008	CDS	702	mtcA2_1	4.2.1.1	COG0288	Carbonic anhydrase 2
DEHBOLHC_00009	CDS	2139	btuB_1			Vitamin B12 transporter BtuB
DEHBOLHC_00010	CDS	930				hypothetical protein
DEHBOLHC_00011	CDS	336	petJ_1		COG2010	Cytochrome c6
DEHBOLHC_00012	CDS	531				hypothetical protein
DEHBOLHC_00013	CDS	1170	rpoD_1			RNA polymerase sigma factor RpoD
DEHBOLHC_00014	CDS	2739	priA	3.6.4.-		primosomal protein N'
DEHBOLHC_00015	CDS	915	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DEHBOLHC_00016	CDS	870				hypothetical protein
DEHBOLHC_00017	CDS	1839	ggt_1	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
DEHBOLHC_00018	CDS	336				hypothetical protein
DEHBOLHC_00019	CDS	885				hypothetical protein
DEHBOLHC_00020	CDS	1743	dfa5_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
DEHBOLHC_00021	CDS	525				hypothetical protein
DEHBOLHC_00022	CDS	1728	dfa3_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
DEHBOLHC_00023	CDS	1677				hypothetical protein
DEHBOLHC_00024	CDS	192				hypothetical protein
DEHBOLHC_00025	CDS	135				hypothetical protein
DEHBOLHC_00026	CDS	1176	eis_1	2.3.1.-		N-acetyltransferase Eis
DEHBOLHC_00027	CDS	2037	ligA	6.5.1.2	COG0272	DNA ligase
