locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBLNCBMD_00001	CDS	210				hypothetical protein
JBLNCBMD_00002	CDS	429				hypothetical protein
JBLNCBMD_00003	CDS	408				hypothetical protein
JBLNCBMD_00004	CDS	279				hypothetical protein
JBLNCBMD_00005	CDS	210				hypothetical protein
JBLNCBMD_00006	CDS	459				hypothetical protein
JBLNCBMD_00007	CDS	366	psbD	1.10.3.9		Photosystem II D2 protein
JBLNCBMD_00008	tRNA	75				tRNA-Ala(tgc)
JBLNCBMD_00009	tRNA	76				tRNA-Ile(gat)
JBLNCBMD_00010	CDS	219				hypothetical protein
JBLNCBMD_00011	CDS	282				hypothetical protein
JBLNCBMD_00012	CDS	228				hypothetical protein
JBLNCBMD_00013	CDS	219				hypothetical protein
JBLNCBMD_00014	CDS	855				hypothetical protein
JBLNCBMD_00015	CDS	234				hypothetical protein
JBLNCBMD_00016	CDS	1758				hypothetical protein
JBLNCBMD_00017	CDS	276				hypothetical protein
JBLNCBMD_00018	CDS	1356				hypothetical protein
JBLNCBMD_00019	CDS	396				hypothetical protein
JBLNCBMD_00020	CDS	258				hypothetical protein
JBLNCBMD_00021	CDS	1746	pksJ		COG0318	Polyketide synthase PksJ
JBLNCBMD_00022	CDS	1680	panP	4.1.1.11	COG0076	Aspartate 1-decarboxylase
JBLNCBMD_00023	CDS	4677				hypothetical protein
JBLNCBMD_00024	CDS	1407	ppsE	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
JBLNCBMD_00025	CDS	93				hypothetical protein
JBLNCBMD_00026	CDS	168				hypothetical protein
JBLNCBMD_00027	CDS	858				hypothetical protein
JBLNCBMD_00028	CDS	234				hypothetical protein
JBLNCBMD_00029	CDS	1599	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
JBLNCBMD_00030	CDS	165				hypothetical protein
JBLNCBMD_00031	CDS	1695	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
JBLNCBMD_00032	CDS	330				hypothetical protein
JBLNCBMD_00033	CDS	2337	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JBLNCBMD_00034	CDS	582	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
JBLNCBMD_00035	CDS	825	cheR_1	2.1.1.80		Chemotaxis protein methyltransferase
JBLNCBMD_00036	CDS	5583	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JBLNCBMD_00037	CDS	150				hypothetical protein
JBLNCBMD_00038	CDS	783				hypothetical protein
JBLNCBMD_00039	CDS	795				hypothetical protein
JBLNCBMD_00040	CDS	1149	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
JBLNCBMD_00041	CDS	2022	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
JBLNCBMD_00042	CDS	1986	bamA_1			Outer membrane protein assembly factor BamA
JBLNCBMD_00043	CDS	2358				hypothetical protein
JBLNCBMD_00044	CDS	4377				hypothetical protein
JBLNCBMD_00045	CDS	2820				hypothetical protein
JBLNCBMD_00046	CDS	591				hypothetical protein
JBLNCBMD_00047	CDS	471				hypothetical protein
JBLNCBMD_00048	CDS	255				hypothetical protein
JBLNCBMD_00049	CDS	270				hypothetical protein
JBLNCBMD_00050	CDS	1362				hypothetical protein
