locus_tag	ftype	length_bp	gene	EC_number	COG	product
DKBCMCDJ_00001	CDS	546				hypothetical protein
DKBCMCDJ_00002	CDS	1455	dac	3.4.16.4		D-alanyl-D-alanine carboxypeptidase
DKBCMCDJ_00003	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
DKBCMCDJ_00004	CDS	1107				hypothetical protein
DKBCMCDJ_00005	CDS	597				hypothetical protein
DKBCMCDJ_00006	CDS	672	estB_1	3.1.1.3		Extracellular esterase EstB
DKBCMCDJ_00007	CDS	2205	kojP	2.4.1.230		Kojibiose phosphorylase
DKBCMCDJ_00008	CDS	618				hypothetical protein
DKBCMCDJ_00009	CDS	2682				hypothetical protein
DKBCMCDJ_00010	CDS	1728	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DKBCMCDJ_00011	CDS	1263	metK_1	2.5.1.6		S-adenosylmethionine synthase
DKBCMCDJ_00012	CDS	1005	prk_1	2.7.1.19		Phosphoribulokinase
DKBCMCDJ_00013	CDS	1284	petH	1.18.1.2		Ferredoxin--NADP reductase
DKBCMCDJ_00014	CDS	1380	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
DKBCMCDJ_00015	CDS	993				hypothetical protein
DKBCMCDJ_00016	CDS	429				hypothetical protein
DKBCMCDJ_00017	CDS	828				hypothetical protein
DKBCMCDJ_00018	CDS	1326	ispH	1.17.7.4		4-hydroxy-3-methylbut-2-enyl diphosphate reductase
DKBCMCDJ_00019	CDS	225				hypothetical protein
DKBCMCDJ_00020	CDS	1608	amtB			Ammonia channel
DKBCMCDJ_00021	CDS	519	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
DKBCMCDJ_00022	CDS	1185	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
DKBCMCDJ_00023	CDS	687	chlM	2.1.1.11		Magnesium-protoporphyrin O-methyltransferase
DKBCMCDJ_00024	CDS	420				hypothetical protein
DKBCMCDJ_00025	CDS	486				hypothetical protein
DKBCMCDJ_00026	CDS	381				hypothetical protein
DKBCMCDJ_00027	CDS	2589				hypothetical protein
DKBCMCDJ_00028	CDS	6039	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
DKBCMCDJ_00029	CDS	825	cheR_1	2.1.1.80		Chemotaxis protein methyltransferase
DKBCMCDJ_00030	CDS	582	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
DKBCMCDJ_00031	CDS	2382	bvgS	2.7.13.3		Virulence sensor protein BvgS
DKBCMCDJ_00032	CDS	231				hypothetical protein
DKBCMCDJ_00033	CDS	1695	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
DKBCMCDJ_00034	CDS	1599	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
DKBCMCDJ_00035	CDS	234				hypothetical protein
DKBCMCDJ_00036	CDS	756				hypothetical protein
DKBCMCDJ_00037	CDS	651				hypothetical protein
DKBCMCDJ_00038	CDS	1092	hrcA			Heat-inducible transcription repressor HrcA
DKBCMCDJ_00039	CDS	348		2.8.1.-	COG0607	Sulfurtransferase
DKBCMCDJ_00040	CDS	1674				hypothetical protein
DKBCMCDJ_00041	CDS	2769				hypothetical protein
DKBCMCDJ_00042	CDS	1092				Ca(2+)/H(+) antiporter
DKBCMCDJ_00043	CDS	759				hypothetical protein
DKBCMCDJ_00044	CDS	2421	susA_1	2.4.1.13	COG0438	Sucrose synthase
DKBCMCDJ_00045	CDS	114				hypothetical protein
DKBCMCDJ_00046	CDS	1539	purH			Bifunctional purine biosynthesis protein PurH
DKBCMCDJ_00047	CDS	660	estB_2	3.1.1.1	COG0400	Carboxylesterase 2
DKBCMCDJ_00048	CDS	213				hypothetical protein
DKBCMCDJ_00049	CDS	1254	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
DKBCMCDJ_00050	CDS	1194	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
DKBCMCDJ_00051	CDS	1101				hypothetical protein
DKBCMCDJ_00052	CDS	849	cheR_2	2.1.1.80		Chemotaxis protein methyltransferase
DKBCMCDJ_00053	CDS	1068	cheB_2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
DKBCMCDJ_00054	CDS	2757	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
DKBCMCDJ_00055	CDS	1911				hypothetical protein
DKBCMCDJ_00056	CDS	1467				hypothetical protein
DKBCMCDJ_00057	CDS	1185				hypothetical protein
DKBCMCDJ_00058	CDS	1617				putative protein
DKBCMCDJ_00059	CDS	858				hypothetical protein
DKBCMCDJ_00060	CDS	894				hypothetical protein
DKBCMCDJ_00061	CDS	144				hypothetical protein
DKBCMCDJ_00062	CDS	846			COG0204	putative protein
DKBCMCDJ_00063	CDS	906				hypothetical protein
DKBCMCDJ_00064	CDS	840	cpoB_1			Cell division coordinator CpoB
DKBCMCDJ_00065	CDS	1431				hypothetical protein
DKBCMCDJ_00066	CDS	792	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
DKBCMCDJ_00067	CDS	924	pstA_1		COG0581	Phosphate transport system permease protein PstA
DKBCMCDJ_00068	CDS	927				hypothetical protein
DKBCMCDJ_00069	CDS	1032	sphX_1		COG0226	Protein SphX
DKBCMCDJ_00070	CDS	255				hypothetical protein
DKBCMCDJ_00071	CDS	2100				hypothetical protein
DKBCMCDJ_00072	CDS	1080				hypothetical protein
DKBCMCDJ_00073	CDS	942				hypothetical protein
DKBCMCDJ_00074	CDS	1617				hypothetical protein
DKBCMCDJ_00075	CDS	147				hypothetical protein
DKBCMCDJ_00076	CDS	1875	dnaK2_1			Chaperone protein dnaK2
DKBCMCDJ_00077	CDS	438	hspA_1		COG0071	Spore protein SP21
DKBCMCDJ_00078	CDS	534	hspA_2		COG0071	Spore protein SP21
DKBCMCDJ_00079	CDS	228			COG3039	IS5 family transposase ISMae6
DKBCMCDJ_00080	CDS	2892	uvrA		COG0178	UvrABC system protein A
DKBCMCDJ_00081	CDS	1404				hypothetical protein
DKBCMCDJ_00082	CDS	258				hypothetical protein
DKBCMCDJ_00083	CDS	399				hypothetical protein
DKBCMCDJ_00084	CDS	1143	hdc	4.1.1.22		Histidine decarboxylase
DKBCMCDJ_00085	CDS	576				hypothetical protein
DKBCMCDJ_00086	CDS	1719	ureC	3.5.1.5	COG0804	Urease subunit alpha
DKBCMCDJ_00087	CDS	309	ureB1	3.5.1.5		Urease subunit beta 1
DKBCMCDJ_00088	CDS	303	ureA	3.5.1.5		Urease subunit gamma
DKBCMCDJ_00089	CDS	867	ureD			Urease accessory protein UreD
DKBCMCDJ_00090	CDS	162				hypothetical protein
DKBCMCDJ_00091	CDS	2172	lapB			Lipopolysaccharide assembly protein B
DKBCMCDJ_00092	CDS	147				hypothetical protein
DKBCMCDJ_00093	CDS	114				hypothetical protein
DKBCMCDJ_00094	CDS	786				hypothetical protein
DKBCMCDJ_00095	CDS	603				hypothetical protein
DKBCMCDJ_00096	CDS	1083	psbA2	1.10.3.9		Photosystem II protein D1 2
DKBCMCDJ_00097	CDS	1083	psbA3_1	1.10.3.9		Photosystem II protein D1 3
DKBCMCDJ_00098	CDS	1500				hypothetical protein
DKBCMCDJ_00099	CDS	2958				hypothetical protein
DKBCMCDJ_00100	CDS	231				hypothetical protein
DKBCMCDJ_00101	CDS	3063	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
DKBCMCDJ_00102	CDS	252				hypothetical protein
DKBCMCDJ_00103	CDS	387				hypothetical protein
DKBCMCDJ_00104	CDS	306				hypothetical protein
DKBCMCDJ_00105	tRNA	75				tRNA-Arg(tct)
DKBCMCDJ_00106	CDS	648				hypothetical protein
DKBCMCDJ_00107	CDS	867				hypothetical protein
DKBCMCDJ_00108	CDS	708				hypothetical protein
DKBCMCDJ_00109	CDS	1728				hypothetical protein
DKBCMCDJ_00110	CDS	909	lip1	3.1.1.3		Lipase 1
DKBCMCDJ_00111	CDS	912	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
DKBCMCDJ_00112	CDS	633				hypothetical protein
DKBCMCDJ_00113	CDS	633				Iron-sulfur cluster carrier protein
DKBCMCDJ_00114	CDS	1464				hypothetical protein
DKBCMCDJ_00115	CDS	690	deoC2	4.1.2.4		Deoxyribose-phosphate aldolase 2
DKBCMCDJ_00116	CDS	1026	recO			DNA repair protein RecO
DKBCMCDJ_00117	CDS	1599				hypothetical protein
DKBCMCDJ_00118	CDS	1149	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DKBCMCDJ_00119	CDS	510	recR		COG0353	Recombination protein RecR
DKBCMCDJ_00120	CDS	468				hypothetical protein
DKBCMCDJ_00121	CDS	921	carC	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
DKBCMCDJ_00122	CDS	324				hypothetical protein
DKBCMCDJ_00123	CDS	918	acuC			Acetoin utilization protein AcuC
DKBCMCDJ_00124	CDS	1137	gshA	6.3.2.2		Glutamate--cysteine ligase
DKBCMCDJ_00125	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
DKBCMCDJ_00126	CDS	2307				hypothetical protein
DKBCMCDJ_00127	tRNA	77				tRNA-Met(cat)
DKBCMCDJ_00128	CDS	2091				hypothetical protein
DKBCMCDJ_00129	CDS	600	prxU	1.11.1.15		Selenocysteine-containing peroxiredoxin PrxU
DKBCMCDJ_00130	CDS	552	resA_1			Thiol-disulfide oxidoreductase ResA
DKBCMCDJ_00131	CDS	249				hypothetical protein
DKBCMCDJ_00132	CDS	999	dnaJ_1		COG0484	Chaperone protein DnaJ
DKBCMCDJ_00133	CDS	522				hypothetical protein
DKBCMCDJ_00134	CDS	1290	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
DKBCMCDJ_00135	CDS	312				hypothetical protein
DKBCMCDJ_00136	CDS	1737				hypothetical protein
DKBCMCDJ_00137	CDS	210				hypothetical protein
DKBCMCDJ_00138	CDS	564	def_1	3.5.1.88		Peptide deformylase
