locus_tag	ftype	length_bp	gene	EC_number	COG	product
MKGEGJIO_00001	CDS	804	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
MKGEGJIO_00002	CDS	282	cas2_1	3.1.-.-	COG1343	CRISPR-associated endonuclease Cas2
MKGEGJIO_00003	CDS	270				hypothetical protein
MKGEGJIO_00004	CDS	1293	eriC		COG0038	Chloride/fluoride channel protein
MKGEGJIO_00005	CDS	2583	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
MKGEGJIO_00006	CDS	1545	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
MKGEGJIO_00007	CDS	588				hypothetical protein
MKGEGJIO_00008	CDS	1620				hypothetical protein
MKGEGJIO_00009	CDS	678				hypothetical protein
MKGEGJIO_00010	CDS	825				hypothetical protein
MKGEGJIO_00011	CDS	1074				hypothetical protein
MKGEGJIO_00012	CDS	804				hypothetical protein
MKGEGJIO_00013	CDS	2745				hypothetical protein
MKGEGJIO_00014	CDS	372				hypothetical protein
MKGEGJIO_00015	CDS	627				hypothetical protein
MKGEGJIO_00016	CDS	2175				hypothetical protein
MKGEGJIO_00017	CDS	531				putative protein
MKGEGJIO_00018	CDS	99				hypothetical protein
MKGEGJIO_00019	CDS	999				hypothetical protein
MKGEGJIO_00020	CDS	828	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MKGEGJIO_00021	CDS	939				hypothetical protein
MKGEGJIO_00022	CDS	906	xynZ_1	3.2.1.8	COG2382	Endo-1,4-beta-xylanase Z
MKGEGJIO_00023	CDS	1671	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
MKGEGJIO_00024	CDS	885	sugB		COG0395	Trehalose transport system permease protein SugB
MKGEGJIO_00025	CDS	1116	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
MKGEGJIO_00026	CDS	795				hypothetical protein
MKGEGJIO_00027	CDS	1203	argG	6.3.4.5		Argininosuccinate synthase
MKGEGJIO_00028	CDS	618				hypothetical protein
MKGEGJIO_00029	CDS	1746				hypothetical protein
MKGEGJIO_00030	CDS	798				hypothetical protein
MKGEGJIO_00031	CDS	837				hypothetical protein
MKGEGJIO_00032	CDS	387				hypothetical protein
MKGEGJIO_00033	CDS	435				hypothetical protein
MKGEGJIO_00034	CDS	1359				hypothetical protein
MKGEGJIO_00035	CDS	3987	cobN_1	6.6.1.2		Aerobic cobaltochelatase subunit CobN
MKGEGJIO_00036	CDS	711				hypothetical protein
MKGEGJIO_00037	CDS	300				hypothetical protein
MKGEGJIO_00038	CDS	354				hypothetical protein
MKGEGJIO_00039	CDS	207				hypothetical protein
MKGEGJIO_00040	CDS	252				hypothetical protein
MKGEGJIO_00041	CDS	261				hypothetical protein
MKGEGJIO_00042	CDS	339				hypothetical protein
MKGEGJIO_00043	CDS	150				hypothetical protein
MKGEGJIO_00044	CDS	1443	phrA	4.1.99.3		Deoxyribodipyrimidine photo-lyase
MKGEGJIO_00045	CDS	1728	dfa3_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
MKGEGJIO_00046	CDS	534				hypothetical protein
MKGEGJIO_00047	CDS	1743	dfa5_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
MKGEGJIO_00048	CDS	1848	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MKGEGJIO_00049	CDS	891				hypothetical protein
MKGEGJIO_00050	CDS	915				hypothetical protein
MKGEGJIO_00051	CDS	531				hypothetical protein
MKGEGJIO_00052	CDS	897				hypothetical protein
MKGEGJIO_00053	CDS	405				hypothetical protein
MKGEGJIO_00054	CDS	426				hypothetical protein
MKGEGJIO_00055	CDS	378				hypothetical protein
MKGEGJIO_00056	CDS	201				hypothetical protein
MKGEGJIO_00057	CDS	231				hypothetical protein
MKGEGJIO_00058	CDS	1080				hypothetical protein
MKGEGJIO_00059	CDS	234				hypothetical protein
MKGEGJIO_00060	CDS	1599	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MKGEGJIO_00061	CDS	1401	cph2_1			Phytochrome-like protein cph2
MKGEGJIO_00062	CDS	1695	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
MKGEGJIO_00063	CDS	330				hypothetical protein
MKGEGJIO_00064	CDS	213				hypothetical protein
MKGEGJIO_00065	CDS	2337	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MKGEGJIO_00066	CDS	582	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
MKGEGJIO_00067	CDS	825	cheR_1	2.1.1.80		Chemotaxis protein methyltransferase
MKGEGJIO_00068	CDS	303				hypothetical protein
MKGEGJIO_00069	CDS	3642	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
MKGEGJIO_00070	CDS	6630	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
MKGEGJIO_00071	CDS	411				hypothetical protein
MKGEGJIO_00072	CDS	2400				hypothetical protein
MKGEGJIO_00073	CDS	714				hypothetical protein
MKGEGJIO_00074	CDS	1371				hypothetical protein
MKGEGJIO_00075	CDS	414				hypothetical protein
MKGEGJIO_00076	CDS	1317				hypothetical protein
MKGEGJIO_00077	CDS	873				hypothetical protein
MKGEGJIO_00078	CDS	621				hypothetical protein
MKGEGJIO_00079	CDS	951				hypothetical protein
MKGEGJIO_00080	CDS	522				hypothetical protein
MKGEGJIO_00081	CDS	1023				hypothetical protein
MKGEGJIO_00082	CDS	645				hypothetical protein
MKGEGJIO_00083	CDS	1122				hypothetical protein
MKGEGJIO_00084	CDS	1020	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
MKGEGJIO_00085	CDS	897				hypothetical protein
MKGEGJIO_00086	CDS	264				hypothetical protein
MKGEGJIO_00087	CDS	999				hypothetical protein
MKGEGJIO_00088	CDS	819				hypothetical protein
MKGEGJIO_00089	CDS	984	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
MKGEGJIO_00090	CDS	948	speE	2.5.1.104	COG0421	Polyamine aminopropyltransferase
MKGEGJIO_00091	CDS	450	speH	4.1.1.50		S-adenosylmethionine decarboxylase proenzyme
MKGEGJIO_00092	CDS	2247	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
MKGEGJIO_00093	CDS	1710	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
MKGEGJIO_00094	CDS	1572				hypothetical protein
MKGEGJIO_00095	CDS	450				hypothetical protein
MKGEGJIO_00096	CDS	1197	glcP		COG0738	Glucose/mannose transporter GlcP
MKGEGJIO_00097	CDS	1812	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MKGEGJIO_00098	CDS	792	modA_1		COG0725	Molybdate-binding protein ModA
MKGEGJIO_00099	CDS	1005	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
MKGEGJIO_00100	CDS	300				hypothetical protein
MKGEGJIO_00101	CDS	117	psbM			Photosystem II reaction center protein M
MKGEGJIO_00102	CDS	852				hypothetical protein
MKGEGJIO_00103	CDS	810				hypothetical protein
MKGEGJIO_00104	CDS	2103	prlC	3.4.24.70	COG0339	Oligopeptidase A
MKGEGJIO_00105	CDS	2877	ileS_1	6.1.1.5		Isoleucine--tRNA ligase
MKGEGJIO_00106	tRNA	70				tRNA-Gly(tcc)
MKGEGJIO_00107	CDS	1527				hypothetical protein
MKGEGJIO_00108	CDS	1626	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
