locus_tag	ftype	length_bp	gene	EC_number	COG	product
COBHBOBG_00001	CDS	474				hypothetical protein
COBHBOBG_00002	CDS	333				hypothetical protein
COBHBOBG_00003	CDS	816	aqpZ_1			Aquaporin Z
COBHBOBG_00004	CDS	417	arsC	1.20.4.1		Glutaredoxin arsenate reductase
COBHBOBG_00005	CDS	636	arsH	1.6.5.2		NADPH-dependent quinone reductase ArsH
COBHBOBG_00006	CDS	447				hypothetical protein
COBHBOBG_00007	CDS	348				hypothetical protein
COBHBOBG_00008	CDS	1023	sphX_1		COG0226	Protein SphX
COBHBOBG_00009	CDS	957				hypothetical protein
COBHBOBG_00010	CDS	915	pstA_1		COG0581	Phosphate transport system permease protein PstA
COBHBOBG_00011	CDS	786	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
COBHBOBG_00012	CDS	1014	sphX_2		COG0226	Protein SphX
COBHBOBG_00013	CDS	1020	sphX_3		COG0226	Protein SphX
COBHBOBG_00014	CDS	1008	sphX_4		COG0226	Protein SphX
COBHBOBG_00015	CDS	1017	sphX_5		COG0226	Protein SphX
COBHBOBG_00016	CDS	1125				hypothetical protein
COBHBOBG_00017	CDS	315				hypothetical protein
COBHBOBG_00018	CDS	606				hypothetical protein
COBHBOBG_00019	CDS	570				hypothetical protein
COBHBOBG_00020	CDS	1485				hypothetical protein
COBHBOBG_00021	CDS	1371				hypothetical protein
COBHBOBG_00022	CDS	1818	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
COBHBOBG_00023	CDS	669	mprA_1		COG0745	Response regulator MprA
COBHBOBG_00024	CDS	1527	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
COBHBOBG_00025	CDS	558				hypothetical protein
COBHBOBG_00026	CDS	2430	priA	3.6.4.-	COG1198	Primosomal protein N'
COBHBOBG_00027	CDS	561				hypothetical protein
COBHBOBG_00028	CDS	1020	tsaM1	1.14.14.-		Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
COBHBOBG_00029	CDS	456				hypothetical protein
COBHBOBG_00030	CDS	540	resA_1			Thiol-disulfide oxidoreductase ResA
COBHBOBG_00031	CDS	693	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
COBHBOBG_00032	CDS	237				hypothetical protein
COBHBOBG_00033	CDS	804				hypothetical protein
COBHBOBG_00034	CDS	2118	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
COBHBOBG_00035	CDS	2130				hypothetical protein
COBHBOBG_00036	CDS	864		3.4.19.5	COG1446	Isoaspartyl peptidase/L-asparaginase
COBHBOBG_00037	CDS	618				hypothetical protein
COBHBOBG_00038	CDS	1155				hypothetical protein
COBHBOBG_00039	CDS	372	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
COBHBOBG_00040	CDS	684				hypothetical protein
COBHBOBG_00041	CDS	189				hypothetical protein
COBHBOBG_00042	CDS	2301				hypothetical protein
COBHBOBG_00043	CDS	234				hypothetical protein
COBHBOBG_00044	CDS	144				hypothetical protein
COBHBOBG_00045	CDS	1296	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
COBHBOBG_00046	CDS	411				hypothetical protein
COBHBOBG_00047	CDS	447				hypothetical protein
COBHBOBG_00048	CDS	1782				hypothetical protein
COBHBOBG_00049	CDS	1758				hypothetical protein
COBHBOBG_00050	CDS	324				hypothetical protein
COBHBOBG_00051	CDS	162				hypothetical protein
COBHBOBG_00052	CDS	975				Orange carotenoid-binding protein
COBHBOBG_00053	CDS	1197	natB	7.2.2.4	COG1668	ABC transporter permease protein NatB
COBHBOBG_00054	CDS	735	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
COBHBOBG_00055	CDS	1191	caeA	3.1.1.-		Carboxylesterase A
COBHBOBG_00056	CDS	1023	spkA_1	2.7.11.1		Serine/threonine-protein kinase A
COBHBOBG_00057	CDS	1935	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
COBHBOBG_00058	CDS	1170				hypothetical protein
COBHBOBG_00059	CDS	690				hypothetical protein
COBHBOBG_00060	CDS	312				hypothetical protein
COBHBOBG_00061	CDS	1095				hypothetical protein
COBHBOBG_00062	CDS	1092				hypothetical protein
COBHBOBG_00063	CDS	1134				hypothetical protein
COBHBOBG_00064	CDS	1140				hypothetical protein
COBHBOBG_00065	CDS	705	narL		COG2197	putative transcriptional regulatory protein NarL
COBHBOBG_00066	CDS	669	upp	2.4.2.9		Uracil phosphoribosyltransferase
COBHBOBG_00067	CDS	315				hypothetical protein
COBHBOBG_00068	CDS	438				hypothetical protein
COBHBOBG_00069	CDS	966	yqeN		COG1466	putative protein YqeN
COBHBOBG_00070	CDS	1272	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
COBHBOBG_00071	CDS	381				hypothetical protein
COBHBOBG_00072	CDS	1110	proB	2.7.2.11	COG0263	Glutamate 5-kinase
COBHBOBG_00073	CDS	336				hypothetical protein
COBHBOBG_00074	CDS	1299	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
COBHBOBG_00075	CDS	522	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
COBHBOBG_00076	CDS	933	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
COBHBOBG_00077	CDS	834				hypothetical protein
COBHBOBG_00078	CDS	834	nucA	3.1.30.-		Nuclease
COBHBOBG_00079	CDS	318				hypothetical protein
COBHBOBG_00080	CDS	867				IS3 family transposase ISMco1
COBHBOBG_00081	CDS	210				hypothetical protein
COBHBOBG_00082	CDS	336				hypothetical protein
COBHBOBG_00083	CDS	567	ycf4			Photosystem I assembly protein Ycf4
COBHBOBG_00084	CDS	3147				hypothetical protein
COBHBOBG_00085	CDS	594				hypothetical protein
COBHBOBG_00086	CDS	1149	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
COBHBOBG_00087	CDS	1245	entS			Enterobactin exporter EntS
COBHBOBG_00088	CDS	786	recO			DNA repair protein RecO
COBHBOBG_00089	CDS	648	rplC		COG0087	50S ribosomal protein L3
COBHBOBG_00090	CDS	642	rplD			50S ribosomal protein L4
COBHBOBG_00091	CDS	303	rplW			50S ribosomal protein L23
COBHBOBG_00092	CDS	576				hypothetical protein
COBHBOBG_00093	CDS	399				hypothetical protein
COBHBOBG_00094	CDS	471				hypothetical protein
COBHBOBG_00095	CDS	552				hypothetical protein
COBHBOBG_00096	CDS	321				hypothetical protein
COBHBOBG_00097	CDS	1389	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
COBHBOBG_00098	CDS	2154				hypothetical protein
COBHBOBG_00099	CDS	240	mazE		COG2336	Antitoxin MazE
COBHBOBG_00100	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
COBHBOBG_00101	CDS	474				hypothetical protein
COBHBOBG_00102	CDS	1734	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
COBHBOBG_00103	CDS	2208	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
COBHBOBG_00104	CDS	1239				hypothetical protein
COBHBOBG_00105	CDS	441				hypothetical protein
COBHBOBG_00106	CDS	909	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
COBHBOBG_00107	CDS	720	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
COBHBOBG_00108	CDS	396				hypothetical protein
COBHBOBG_00109	CDS	261				hypothetical protein
COBHBOBG_00110	CDS	303				hypothetical protein
COBHBOBG_00111	CDS	267				hypothetical protein
COBHBOBG_00112	CDS	750	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
COBHBOBG_00113	CDS	882	dacA	2.7.7.85	COG1624	Diadenylate cyclase
COBHBOBG_00114	CDS	1260	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
COBHBOBG_00115	CDS	927	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
COBHBOBG_00116	CDS	1203				hypothetical protein
COBHBOBG_00117	CDS	219				hypothetical protein
COBHBOBG_00118	CDS	558				hypothetical protein
COBHBOBG_00119	CDS	720		1.-.-.-		putative oxidoreductase
COBHBOBG_00120	CDS	837				hypothetical protein
COBHBOBG_00121	CDS	1458				hypothetical protein
COBHBOBG_00122	CDS	339				hypothetical protein
COBHBOBG_00123	CDS	1302				hypothetical protein
COBHBOBG_00124	CDS	282				hypothetical protein
COBHBOBG_00125	CDS	1014		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
COBHBOBG_00126	CDS	876				hypothetical protein
COBHBOBG_00127	CDS	1056	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
COBHBOBG_00128	CDS	486				hypothetical protein
COBHBOBG_00129	CDS	198				hypothetical protein
COBHBOBG_00130	CDS	681	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
COBHBOBG_00131	CDS	828	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
COBHBOBG_00132	CDS	2037	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
COBHBOBG_00133	CDS	843				hypothetical protein
COBHBOBG_00134	CDS	660				hypothetical protein
COBHBOBG_00135	CDS	351				hypothetical protein
COBHBOBG_00136	CDS	354				hypothetical protein
COBHBOBG_00137	CDS	504				hypothetical protein
COBHBOBG_00138	CDS	714				hypothetical protein
COBHBOBG_00139	CDS	642				hypothetical protein
COBHBOBG_00140	CDS	795				hypothetical protein
COBHBOBG_00141	CDS	1104				hypothetical protein
COBHBOBG_00142	CDS	684	ybhL		COG0670	Inner membrane protein YbhL
COBHBOBG_00143	CDS	777	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
COBHBOBG_00144	CDS	174				hypothetical protein
COBHBOBG_00145	CDS	387				hypothetical protein
COBHBOBG_00146	CDS	519	nrdR		COG1327	Transcriptional repressor NrdR
COBHBOBG_00147	CDS	441				hypothetical protein
COBHBOBG_00148	CDS	1404			COG3385	IS4 family transposase ISGvi2
COBHBOBG_00149	CDS	726				hypothetical protein
COBHBOBG_00150	CDS	339				hypothetical protein
COBHBOBG_00151	CDS	588				hypothetical protein
COBHBOBG_00152	CDS	876				IS982 family transposase ISPlu6
COBHBOBG_00153	CDS	255				hypothetical protein
COBHBOBG_00154	CDS	1569				IS1182 family transposase ISGvi6
COBHBOBG_00155	CDS	2091				hypothetical protein
COBHBOBG_00156	CDS	282				hypothetical protein
COBHBOBG_00157	CDS	876				IS982 family transposase ISXne5
COBHBOBG_00158	CDS	678				hypothetical protein
COBHBOBG_00159	CDS	228				hypothetical protein
COBHBOBG_00160	CDS	1392				hypothetical protein
COBHBOBG_00161	CDS	1944	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
COBHBOBG_00162	CDS	309	rpsT		COG0268	30S ribosomal protein S20
COBHBOBG_00163	CDS	270				hypothetical protein
COBHBOBG_00164	CDS	2121	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
COBHBOBG_00165	CDS	354				hypothetical protein
COBHBOBG_00166	CDS	291				hypothetical protein
COBHBOBG_00167	CDS	543				hypothetical protein
COBHBOBG_00168	CDS	219				hypothetical protein
COBHBOBG_00169	CDS	138				hypothetical protein
COBHBOBG_00170	CDS	300				hypothetical protein
COBHBOBG_00171	CDS	276				hypothetical protein
COBHBOBG_00172	CDS	543				hypothetical protein
COBHBOBG_00173	CDS	1023	hemH_1	4.99.1.1		Ferrochelatase
COBHBOBG_00174	CDS	1101				hypothetical protein
COBHBOBG_00175	CDS	1116				IS701 family transposase ISNpu6
COBHBOBG_00176	CDS	852	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
COBHBOBG_00177	CDS	789	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
COBHBOBG_00178	CDS	1017	tauA		COG4521	Taurine-binding periplasmic protein
COBHBOBG_00179	CDS	1965	dapb3_1	3.4.14.-		Dipeptidyl aminopeptidase BIII
COBHBOBG_00180	CDS	249				hypothetical protein
COBHBOBG_00181	CDS	1815				hypothetical protein
COBHBOBG_00182	CDS	702				hypothetical protein
COBHBOBG_00183	CDS	201				hypothetical protein
COBHBOBG_00184	CDS	336	petE_1			Plastocyanin
COBHBOBG_00185	CDS	612				hypothetical protein
COBHBOBG_00186	CDS	240				hypothetical protein
COBHBOBG_00187	CDS	897				hypothetical protein
COBHBOBG_00188	tRNA	73				tRNA-Glu(ctc)
COBHBOBG_00189	tRNA	73				tRNA-Lys(ctt)
COBHBOBG_00190	CDS	240				hypothetical protein
COBHBOBG_00191	CDS	576				hypothetical protein
COBHBOBG_00192	CDS	219				hypothetical protein
COBHBOBG_00193	CDS	291				hypothetical protein
COBHBOBG_00194	CDS	579				hypothetical protein
COBHBOBG_00195	CDS	981	yhdN_1	1.1.1.-	COG0667	Aldo-keto reductase YhdN
COBHBOBG_00196	CDS	822	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
COBHBOBG_00197	CDS	615				hypothetical protein
COBHBOBG_00198	CDS	960	nadA	2.5.1.72	COG0379	Quinolinate synthase A
COBHBOBG_00199	CDS	1029	aroF_1	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
COBHBOBG_00200	CDS	1917	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
COBHBOBG_00201	CDS	1047	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
COBHBOBG_00202	CDS	216				hypothetical protein
COBHBOBG_00203	CDS	390				hypothetical protein
COBHBOBG_00204	CDS	2331		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
COBHBOBG_00205	tRNA	73				tRNA-Leu(taa)
COBHBOBG_00206	CDS	897				Green-light absorbing proteorhodopsin
COBHBOBG_00207	CDS	150				hypothetical protein
COBHBOBG_00208	CDS	198				hypothetical protein
COBHBOBG_00209	CDS	684				hypothetical protein
COBHBOBG_00210	CDS	558				IS110 family transposase ISCARN67
COBHBOBG_00211	CDS	339				hypothetical protein
COBHBOBG_00212	CDS	951	sigA_1		COG0568	RNA polymerase sigma factor SigA
COBHBOBG_00213	CDS	1107				hypothetical protein
COBHBOBG_00214	CDS	603				hypothetical protein
COBHBOBG_00215	CDS	486				hypothetical protein
COBHBOBG_00216	CDS	699				hypothetical protein
COBHBOBG_00217	CDS	351				hypothetical protein
COBHBOBG_00218	CDS	354				hypothetical protein
COBHBOBG_00219	CDS	441				hypothetical protein
COBHBOBG_00220	CDS	537				hypothetical protein
COBHBOBG_00221	CDS	600				hypothetical protein
COBHBOBG_00222	CDS	1056			COG3385	IS4 family transposase ISGvi3
COBHBOBG_00223	CDS	273				hypothetical protein
COBHBOBG_00224	CDS	1287				hypothetical protein
COBHBOBG_00225	CDS	1002				hypothetical protein
COBHBOBG_00226	CDS	549				hypothetical protein
COBHBOBG_00227	CDS	5868				hypothetical protein
COBHBOBG_00228	CDS	2205				hypothetical protein
COBHBOBG_00229	CDS	1518	chlB	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit B
COBHBOBG_00230	CDS	324				hypothetical protein
COBHBOBG_00231	CDS	909	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
COBHBOBG_00232	CDS	2076	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
COBHBOBG_00233	CDS	1572	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
COBHBOBG_00234	CDS	1185				hypothetical protein
COBHBOBG_00235	CDS	1137				hypothetical protein
COBHBOBG_00236	CDS	705				hypothetical protein
