locus_tag	ftype	length_bp	gene	EC_number	COG	product
DGMECNKP_00001	CDS	1056	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
DGMECNKP_00002	CDS	942	carC_1	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
	repeat_region	3008				
DGMECNKP_00003	CDS	288	cas2_1	3.1.-.-	COG1343	CRISPR-associated endoribonuclease Cas2
DGMECNKP_00004	CDS	1005	cas1_1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
DGMECNKP_00005	CDS	594				hypothetical protein
DGMECNKP_00006	CDS	858				hypothetical protein
DGMECNKP_00007	CDS	708				hypothetical protein
DGMECNKP_00008	CDS	1014				hypothetical protein
DGMECNKP_00009	CDS	3321				hypothetical protein
DGMECNKP_00010	CDS	159				hypothetical protein
DGMECNKP_00011	CDS	261				hypothetical protein
DGMECNKP_00012	CDS	2109				hypothetical protein
DGMECNKP_00013	CDS	882				hypothetical protein
DGMECNKP_00014	CDS	1587				hypothetical protein
DGMECNKP_00015	CDS	864				hypothetical protein
DGMECNKP_00016	CDS	648				hypothetical protein
DGMECNKP_00017	CDS	1905	dnaK2_1			Chaperone protein dnaK2
DGMECNKP_00018	CDS	414				hypothetical protein
DGMECNKP_00019	CDS	258				hypothetical protein
DGMECNKP_00020	CDS	1095	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
DGMECNKP_00021	CDS	534				hypothetical protein
DGMECNKP_00022	CDS	1668	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
DGMECNKP_00023	CDS	249				hypothetical protein
DGMECNKP_00024	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
DGMECNKP_00025	CDS	939	vldW	1.14.11.52		Validamycin A dioxygenase
DGMECNKP_00026	CDS	744	cpoB_1			Cell division coordinator CpoB
DGMECNKP_00027	CDS	915	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
DGMECNKP_00028	CDS	549	pipB2_1		COG1357	Secreted effector protein PipB2
DGMECNKP_00029	CDS	3438	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DGMECNKP_00030	CDS	1062	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
DGMECNKP_00031	CDS	156				hypothetical protein
DGMECNKP_00032	CDS	888	panS		COG0385	Pantothenate precursors transporter PanS
DGMECNKP_00033	CDS	579				hypothetical protein
DGMECNKP_00034	CDS	420				hypothetical protein
DGMECNKP_00035	CDS	168				hypothetical protein
DGMECNKP_00036	CDS	999				hypothetical protein
DGMECNKP_00037	CDS	654				hypothetical protein
DGMECNKP_00038	CDS	279				hypothetical protein
DGMECNKP_00039	CDS	981	scrK	2.7.1.4	COG0524	Fructokinase
DGMECNKP_00040	CDS	486		2.7.1.12	COG3265	Gluconokinase
DGMECNKP_00041	CDS	969				hypothetical protein
DGMECNKP_00042	CDS	588	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
DGMECNKP_00043	CDS	1407	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
DGMECNKP_00044	CDS	1242				hypothetical protein
DGMECNKP_00045	CDS	894				hypothetical protein
DGMECNKP_00046	CDS	3306				hypothetical protein
DGMECNKP_00047	CDS	669				hypothetical protein
DGMECNKP_00048	CDS	1152				hypothetical protein
DGMECNKP_00049	CDS	828	sfsA		COG1489	Sugar fermentation stimulation protein A
DGMECNKP_00050	CDS	1272	cpoB_2			Cell division coordinator CpoB
DGMECNKP_00051	CDS	294				hypothetical protein
DGMECNKP_00052	CDS	2037	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
DGMECNKP_00053	CDS	1950	bamA_1			Outer membrane protein assembly factor BamA
DGMECNKP_00054	CDS	3900				hypothetical protein
DGMECNKP_00055	CDS	3168				hypothetical protein
DGMECNKP_00056	CDS	3204				hypothetical protein
DGMECNKP_00057	CDS	2427				hypothetical protein
DGMECNKP_00058	CDS	3357				hypothetical protein
DGMECNKP_00059	CDS	2685				hypothetical protein
DGMECNKP_00060	CDS	2820				hypothetical protein
DGMECNKP_00061	CDS	591				hypothetical protein
DGMECNKP_00062	CDS	468				hypothetical protein
DGMECNKP_00063	CDS	1143	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
DGMECNKP_00064	CDS	150				hypothetical protein
DGMECNKP_00065	CDS	867				hypothetical protein
DGMECNKP_00066	CDS	2493				hypothetical protein
DGMECNKP_00067	CDS	531				hypothetical protein
DGMECNKP_00068	CDS	579				hypothetical protein
DGMECNKP_00069	CDS	3750	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
DGMECNKP_00070	CDS	534				hypothetical protein
DGMECNKP_00071	CDS	885	sadH	1.-.-.-		Putative oxidoreductase SadH
DGMECNKP_00072	CDS	291				hypothetical protein
DGMECNKP_00073	CDS	1767				hypothetical protein
DGMECNKP_00074	CDS	1443	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
DGMECNKP_00075	CDS	1347				hypothetical protein
DGMECNKP_00076	CDS	558				hypothetical protein
DGMECNKP_00077	CDS	1350				hypothetical protein
DGMECNKP_00078	CDS	1281				hypothetical protein
DGMECNKP_00079	CDS	645	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
DGMECNKP_00080	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
DGMECNKP_00081	CDS	672	ntcA			Global nitrogen regulator
DGMECNKP_00082	CDS	1494				hypothetical protein
DGMECNKP_00083	CDS	444				hypothetical protein
DGMECNKP_00084	CDS	264				hypothetical protein
DGMECNKP_00085	CDS	177				hypothetical protein
DGMECNKP_00086	CDS	522				hypothetical protein
DGMECNKP_00087	tRNA	72				tRNA-Gly(gcc)
DGMECNKP_00088	CDS	408				hypothetical protein
DGMECNKP_00089	CDS	1266	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
DGMECNKP_00090	CDS	816				hypothetical protein
DGMECNKP_00091	CDS	1230	metZ	2.5.1.-		O-succinylhomoserine sulfhydrylase
DGMECNKP_00092	CDS	249				hypothetical protein
DGMECNKP_00093	CDS	1497	ltxD_1			Leukotoxin export protein LtxD
DGMECNKP_00094	CDS	876				hypothetical protein
DGMECNKP_00095	CDS	789	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
DGMECNKP_00096	CDS	1068	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
DGMECNKP_00097	CDS	189				hypothetical protein
DGMECNKP_00098	CDS	528				hypothetical protein
DGMECNKP_00099	CDS	3129				hypothetical protein
DGMECNKP_00100	CDS	2190				hypothetical protein
DGMECNKP_00101	CDS	180				hypothetical protein
DGMECNKP_00102	CDS	2025	thiG	2.8.1.10		Thiazole synthase
DGMECNKP_00103	CDS	393				hypothetical protein
DGMECNKP_00104	CDS	339				hypothetical protein
DGMECNKP_00105	CDS	1617	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
DGMECNKP_00106	CDS	234				hypothetical protein
DGMECNKP_00107	CDS	2127				hypothetical protein
DGMECNKP_00108	CDS	1608				hypothetical protein
DGMECNKP_00109	CDS	1554				hypothetical protein
DGMECNKP_00110	CDS	774				hypothetical protein
DGMECNKP_00111	CDS	1053			COG0701	Putative two-component membrane permease complex subunit SMU_747c
DGMECNKP_00112	CDS	393				hypothetical protein
DGMECNKP_00113	CDS	972				hypothetical protein
DGMECNKP_00114	CDS	1581	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
DGMECNKP_00115	CDS	2100	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
DGMECNKP_00116	CDS	387				hypothetical protein
DGMECNKP_00117	CDS	717				hypothetical protein
DGMECNKP_00118	CDS	1020	cmpR_1			HTH-type transcriptional activator CmpR
