locus_tag	ftype	length_bp	gene	EC_number	COG	product
JIDGJOLD_00001	CDS	483	tnpA	3.1.-.-		Transposase for transposon Tn5
JIDGJOLD_00002	CDS	924	ctpF_1	3.6.3.-	COG0474	putative cation-transporting ATPase F
JIDGJOLD_00003	CDS	534				hypothetical protein
JIDGJOLD_00004	CDS	1575				hypothetical protein
JIDGJOLD_00005	CDS	696				hypothetical protein
JIDGJOLD_00006	CDS	648				hypothetical protein
JIDGJOLD_00007	CDS	624				hypothetical protein
JIDGJOLD_00008	CDS	951				hypothetical protein
JIDGJOLD_00009	CDS	1359			COG2239	Magnesium transporter MgtE
JIDGJOLD_00010	CDS	99				hypothetical protein
JIDGJOLD_00011	CDS	1278	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JIDGJOLD_00012	CDS	615				hypothetical protein
JIDGJOLD_00013	CDS	678	cusR_1		COG0745	Transcriptional regulatory protein CusR
JIDGJOLD_00014	CDS	2667				hypothetical protein
JIDGJOLD_00015	CDS	246				hypothetical protein
JIDGJOLD_00016	CDS	810		1.1.1.119	COG1028	Glucose 1-dehydrogenase
JIDGJOLD_00017	CDS	561	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
JIDGJOLD_00018	CDS	243	apnhaP_1			Na(+)/H(+) antiporter ApNhaP
JIDGJOLD_00019	CDS	177				hypothetical protein
JIDGJOLD_00020	CDS	1023	yhhT_1		COG0628	Putative transport protein YhhT
JIDGJOLD_00021	CDS	1368				hypothetical protein
JIDGJOLD_00022	CDS	156				hypothetical protein
JIDGJOLD_00023	CDS	588				hypothetical protein
JIDGJOLD_00024	CDS	1329	hmp	1.14.12.17		Flavohemoprotein
JIDGJOLD_00025	CDS	816	sodA1	1.15.1.1		Superoxide dismutase [Mn] 1
JIDGJOLD_00026	CDS	351				hypothetical protein
JIDGJOLD_00027	CDS	1014				hypothetical protein
JIDGJOLD_00028	CDS	243				hypothetical protein
JIDGJOLD_00029	CDS	1266				IS701 family transposase ISNpu7
JIDGJOLD_00030	CDS	660				hypothetical protein
JIDGJOLD_00031	CDS	1074				hypothetical protein
JIDGJOLD_00032	CDS	192				hypothetical protein
JIDGJOLD_00033	CDS	249				hypothetical protein
JIDGJOLD_00034	CDS	801				ISL3 family transposase ISAcma49
JIDGJOLD_00035	CDS	354				hypothetical protein
JIDGJOLD_00036	CDS	417				hypothetical protein
JIDGJOLD_00037	CDS	1614				hypothetical protein
JIDGJOLD_00038	CDS	783			COG3039	IS5 family transposase IS702
JIDGJOLD_00039	CDS	291				hypothetical protein
JIDGJOLD_00040	CDS	492				hypothetical protein
JIDGJOLD_00041	CDS	1065				hypothetical protein
JIDGJOLD_00042	CDS	255				hypothetical protein
JIDGJOLD_00043	CDS	192				hypothetical protein
JIDGJOLD_00044	CDS	354			COG3039	IS5 family transposase ISMae6
JIDGJOLD_00045	CDS	900				hypothetical protein
JIDGJOLD_00046	CDS	207				hypothetical protein
JIDGJOLD_00047	CDS	192				hypothetical protein
JIDGJOLD_00048	CDS	354				hypothetical protein
JIDGJOLD_00049	CDS	417				hypothetical protein
JIDGJOLD_00050	CDS	624				hypothetical protein
JIDGJOLD_00051	CDS	834				hypothetical protein
